firstname,firstname_length,proba_man,proba_female,total
joselyne,8,0.0,100.0,3550.0
maimouna,8,0.0,100.0,3508.0
athenais,8,0.0,100.0,3400.0
seraphin,8,99.2,0.8,3362.0
mallaury,8,3.34,96.66,3354.0
maissane,8,0.76,99.24,3306.0
ibrahima,8,100.0,0.0,3269.0
youssouf,8,100.0,0.0,3196.0
marylise,8,0.0,100.0,3171.0
charlyne,8,0.0,100.0,3077.0
antonine,8,0.0,100.0,3033.0
margaret,8,0.0,100.0,3005.0
raphaele,8,0.0,100.0,2944.0
jennyfer,8,0.0,100.0,2927.0
cendrine,8,0.0,100.0,2873.0
judicael,8,95.06,4.94,2873.0
cristina,8,0.0,100.0,2859.0
marouane,8,100.0,0.0,2856.0
williams,8,100.0,0.0,2832.0
clarence,8,67.92,32.08,2812.0
abdellah,8,100.0,0.0,2761.0
vladimir,8,100.0,0.0,2742.0
joseline,8,0.0,100.0,2730.0
soukaina,8,0.0,100.0,2718.0
muhammed,8,100.0,0.0,2701.0
guilaine,8,0.0,100.0,2698.0
virginia,8,0.0,100.0,2697.0
valerian,8,100.0,0.0,2694.0
lisandro,8,100.0,0.0,2677.0
leocadie,8,6.41,93.59,2652.0
redouane,8,100.0,0.0,2631.0
cheyenne,8,1.1,98.9,2556.0
anabelle,8,0.0,100.0,2530.0
giuseppe,8,100.0,0.0,2407.0
vincenzo,8,100.0,0.0,2387.0
aissatou,8,0.0,100.0,2381.0
gillette,8,0.0,100.0,2353.0
harmonie,8,0.0,100.0,2338.0
leonardo,8,100.0,0.0,2337.0
zinedine,8,100.0,0.0,2306.0
alexiane,8,0.0,100.0,2300.0
zakariya,8,100.0,0.0,2293.0
savannah,8,0.0,100.0,2238.0
laeticia,8,0.0,100.0,2231.0
lilianne,8,0.0,100.0,2211.0
cyriaque,8,89.63,10.37,2209.0
khadidja,8,0.0,100.0,2186.0
eleanore,8,0.0,100.0,2170.0
hermance,8,0.0,100.0,2158.0
cataleya,8,0.0,100.0,2143.0
kimberly,8,0.0,100.0,2135.0
tiffanie,8,0.0,100.0,2093.0
jeannick,8,37.59,62.41,2091.0
rollande,8,0.0,100.0,2074.0
appoline,8,0.0,100.0,2049.0
salvador,8,100.0,0.0,1979.0
gabriela,8,0.0,100.0,1977.0
leo paul,8,100.0,0.0,1952.0
giovanna,8,0.0,100.0,1937.0
yvonnick,8,92.51,7.49,1935.0
victorin,8,100.0,0.0,1933.0
gonzague,8,100.0,0.0,1910.0
daniella,8,0.0,100.0,1905.0
nourdine,8,100.0,0.0,1893.0
aymerick,8,100.0,0.0,1890.0
vincente,8,8.29,91.71,1869.0
vinciane,8,0.0,100.0,1862.0
sullyvan,8,100.0,0.0,1829.0
emmeline,8,0.0,100.0,1825.0
belkacem,8,100.0,0.0,1804.0
mohammad,8,100.0,0.0,1804.0
chahinez,8,0.0,100.0,1798.0
mouhamed,8,100.0,0.0,1783.0
evariste,8,87.95,12.05,1776.0
myrtille,8,0.0,100.0,1752.0
santiago,8,100.0,0.0,1750.0
cesarine,8,0.0,100.0,1732.0
ibtissem,8,0.0,100.0,1717.0
lysandre,8,79.69,20.31,1679.0
jean guy,8,100.0,0.0,1677.0
